index,Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
80,359000,4305,83.4,3,4,3,1992-01-01,Central thermostat,Partial decoration,0.3,0.18,0.24,,1,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-maironio-g-palanga-dreams-tai-boutique-tipo-1-3226206/
81,155000,3163,49.0,4,4,2,2008-01-01,"Central, central thermostat",Fully equipped,1.6,1.8,1.2,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-palangoje-vytauto-g-isskirtinis-butas-su-didele-terasa-i-vakaru-1-3173480/
82,129477,3120,41.5,3,4,2,2015-01-01,Gas,Fully equipped,0.35,0.36,0.17,0.74,4,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-ganyklu-g-maluno-vilos-projekte-2-kambariu-butas-1-3195436/
83,149000,3808,39.13,1,3,2,2021-01-01,Electric,Fully equipped,5.6,5.7,1.6,0.75,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vaivorykstes-g-parduodamas-irengtas-2-kambariu-butas-su-1-3254135/
84,194000,3403,57.01,2,3,3,2022-01-01,Electric,Partial decoration,2.6,2.7,1.5,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-sviesos-g-parduodamas-3k-butas-naujai-vystomame-1-3219962/
85,39000,1696,23.0,1,1,2,1985-01-01,Other,Partial decoration,0.77,0.7,0.94,,2,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-medvalakio-g-pristatome-nauja-pajurio-projekta-palangos-1-3268706/
86,560000,5093,109.95,1,3,4,2019-01-01,Gas,Fully equipped,0.46,0.22,0.38,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-gintaro-g-parduodamas-109-kvm-butas-su-pilna-apdaila-1-3268236/
87,120000,3885,30.89,2,3,2,2021-01-01,Electric,Fully equipped,5.6,5.7,1.6,0.75,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vaivorykstes-g-parduodamas-irengtas-2-kambariu-butas-su-1-3254111/
88,139000,2940,47.28,2,3,3,2022-01-01,Electric,Partial decoration,2.6,2.7,1.5,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-sviesos-g-parduodamas-3k-butas-naujai-vystomame-1-3257430/
89,150000,4002,37.48,1,4,2,2016-01-01,Central thermostat,Fully equipped,2.1,2.3,1.7,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-parduodami-naujai-irengti-apartamentai-1-3270844/
90,83048,2250,36.91,4,4,2,2022-01-01,Central thermostat,Partial decoration,0.58,0.5,0.75,,2,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-smilgu-g-parduodami-naujos-statybos-butai-smilgu-g-1-3245569/
91,278000,4849,57.33,1,1,3,2021-01-01,Gas,Fully equipped,5.5,5.7,1.5,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vingio-g-modernus-pilnai-irengtas-namas-naujai-1-3269806/
92,170500,2712,62.86,1,2,3,2022-01-01,Electric,Fully equipped,4.3,4.5,0.57,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vaivorykstes-g-erdvus-namai-ramioje-gyvenvieteje-puiki-1-3228948/
93,119900,3766,31.84,1,2,2,2022-01-01,Electric,Other,4.3,4.4,0.65,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-paliepgiriu-kel-sparciai-vystomame-projekte-mano-jura-3-i-1-3264264/
94,92425,2350,39.33,1,3,1,2022-01-01,Electric,Partial decoration,0.32,0.46,0.75,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-mokyklos-g-parduodamas-patogaus-isplanavimo-studijos-1-3264536/
95,155900,3053,51.07,2,4,2,2007-01-01,Central thermostat,Fully equipped,1.6,1.8,1.2,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vytauto-g-pilnai-irengtas-butas-palangoje-ramioje-1-3256978/
96,108000,2400,45.0,1,3,2,2022-01-01,Electric,Partial decoration,0.32,0.46,0.75,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-mokyklos-g-parduodamas-2-kambariu-butas-su-terasa-ir-1-3264550/
97,189000,2933,64.43,7,7,2,2010-01-01,Gas,Fully equipped,1.2,1.3,0.18,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-mokyklos-g-sventojoje-poilsio-apartamentu-komplekse-1-3261988/
98,214000,5427,39.43,2,3,2,2022-01-01,Gas,Fully equipped,1.5,1.7,1.2,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-megaukites-juros-osimu-kasdien-jau-uzbaigti-1-3266410/
99,224000,5685,39.4,3,3,2,2022-01-01,Gas,Fully equipped,1.6,1.8,1.3,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-kai-kava-paskanina-pusu-ir-saku-aromatas-o-1-3266426/
100,120990,2161,56.0,1,2,3,2022-01-01,Other,Partial decoration,0.58,0.72,0.37,0.69,2,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-zaros-g-lagom-palanga-siaures-veju-ikveptas-1-3205099/
101,140000,3929,35.63,5,5,2,2008-01-01,Central thermostat,Fully equipped,1.6,1.9,1.3,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-palangoje-vanagupes-g-parduodamas-jaukus-2-1-3225030/
102,120000,2609,46.0,1,4,2,1969-01-01,Central thermostat,Fully equipped,0.04,0.47,0.13,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-kastycio-g-palangos-centras-renovuotas-namas-1-3266126/
103,59500,3561,16.71,2,3,1,1968-01-01,Electric,Fully equipped,0.49,0.19,0.16,0.99,3,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-j-biliuno-g-palangos-centrineje-miesto-dalyje-parduodamas-1-3269740/
104,135000,2877,46.93,4,4,2,2007-01-01,Central thermostat,Fully equipped,1.6,1.8,1.2,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vytauto-g-pilnai-irengtas-2-kamb-butas-palangoje-1-3269540/
105,120000,2967,40.44,1,2,2,2022-01-01,Aerothermal,Partial decoration,5.1,5.3,1.2,0.94,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vaivorykstes-g-2-ir-3-kambariu-butai-vaivorykstes-g-1-3170908/
106,155000,4697,33.0,1,1,3,2018-01-01,Gas,Fully equipped,2.8,3.0,1.4,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-kontininku-g-3-kambariu-butas-su-lauko-terasa-projekte-1-3264106/
107,143900,4596,31.31,4,5,2,2015-01-01,Central thermostat,Fully equipped,0.62,0.48,0.48,,1,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-ziogu-g-ieskantiems-namu-su-amzinai-zaliuojanciu-1-3256726/
108,132000,3300,40.0,1,2,2,2016-01-01,Electric,Fully equipped,4.4,4.5,0.73,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-paliepgiriu-kel-parduodami-apartamentai-kunigiskese-su-1-3187772/
